Rank,Title,URL,Votes,Comments
1,Gemini 3 Flash: frontier intelligence built for speed,https://blog.google/products/gemini/gemini-3-flash/,239,100
2,Coursera to combine with Udemy,https://investor.coursera.com/news/news-details/2025/Coursera-to-Combine-with-Udemy-to-Empower-the-Global-Workforce-with-Skills-for-the-AI-Era/default.aspx,188,119
3,AWS CEO says replacing junior devs with AI is 'one of the dumbest ideas',https://www.finalroundai.com/blog/aws-ceo-ai-cannot-replace-junior-developers,113,76
4,A Safer Container Ecosystem with Docker: Free Docker Hardened Images,https://www.docker.com/blog/docker-hardened-images-for-every-developer/,47,5
5,Notes on Sorted Data,https://amit.prasad.me/blog/sorted-data,19,1
6,Tell HN: HN Was Down,https://news.ycombinator.com/item?id=46301921,179,88
7,"How, and why, I invented OnlyFans. In 2004",https://themosthandsomemanintheworld.com/how-and-why-i-invented-onlyfans-in-2004/,3,0
8,Flick (YC F25) Is Hiring Founding Engineer to Build Figma for AI Filmmaking,https://www.ycombinator.com/companies/flick/jobs/Tdu6FH6-founding-frontend-engineer,0,0
9,Launch HN: Kenobi (YC W22) – Personalize your website for every visitor,https://news.ycombinator.com/item?id=46301865,7,14
10,Ask HN: Was HN just down for anyone else?,https://news.ycombinator.com/item?id=46301903,78,34
11,AI will make formal verification go mainstream,https://martin.kleppmann.com/2025/12/08/ai-formal-verification.html,734,371
12,alpr.watch,https://alpr.watch/,842,394
13,No Graphics API,https://www.sebastianaaltonen.com/blog/no-graphics-api,742,137
14,Announcing the Beta release of ty,https://astral.sh/blog/ty,719,137
15,Learning the oldest programming language (2024),https://uncenter.dev/posts/learning-fortran/,18,8
16,Is Mozilla trying hard to kill itself?,https://infosec.press/brunomiguel/is-mozilla-trying-hard-to-kill-itself,605,528
17,No AI* Here – A Response to Mozilla's Next Chapter,https://www.waterfox.com/blog/no-ai-here-response-to-mozilla/,434,249
18,Pricing Changes for GitHub Actions,https://resources.github.com/actions/2026-pricing-changes-for-github-actions/,738,776
19,TLA+ Modeling Tips,http://muratbuffalo.blogspot.com/2025/12/tla-modeling-tips.html,77,16
20,GPT Image 1.5,https://openai.com/index/new-chatgpt-images-is-here/,483,233
21,I created a publishing system for step-by-step coding guides in Typst,https://press.knowledge.dev/p/new-150-pages-rust-guide-create-a,3,1
22,"Yep, Passkeys Still Have Problems",https://fy.blackhats.net.au/blog/2025-12-17-yep-passkeys-still-have-problems/,29,9
23,"AI's real superpower: consuming, not creating",https://msanroman.io/blog/ai-consumption-paradigm,120,90
24,Firefox is becoming an AI browser and the internet is not at all happy about it,https://www.pcgamer.com/hardware/firefox-is-becoming-an-ai-browser-and-the-internet-is-not-at-all-happy-about-it/,76,72
25,Modern SID chip substitutes [video],https://www.youtube.com/watch?v=nooPmXxO6K0,42,2
26,I ported JustHTML from Python to JavaScript with Codex CLI and GPT-5.2 in hours,https://simonwillison.net/2025/Dec/15/porting-justhtml/,216,119
27,Mozilla appoints new CEO Anthony Enzor-Demeo,https://blog.mozilla.org/en/mozilla/leadership/mozillas-next-chapter-anthony-enzor-demeo-new-ceo/,561,832
28,40 percent of fMRI signals do not correspond to actual brain activity,https://www.tum.de/en/news-and-events/all-news/press-releases/details/40-percent-of-mri-signals-do-not-correspond-to-actual-brain-activity,470,184
29,Thin desires are eating life,https://www.joanwestenberg.com/thin-desires-are-eating-your-life/,606,206
30,Beyond RC4 for Windows Authentication,https://www.microsoft.com/en-us/windows-server/blog/2025/12/03/beyond-rc4-for-windows-authentication,10,1
